"","error_doc"
"1",1.53729465011076
"2",-3.02256226737134
"3",0.235359641080759
"4",-2.26660339113553
"5",7.9856472941668
"6",-2.95269063068863
"7",-4.12980630909737
"8",-0.48427660468484
"9",1.49770765045652
"10",1.31666415231826
"11",-0.908803694472478
"12",-0.253119663683969
"13",0.057758065561583
"14",1.77608686865915
"15",-1.65275804163559
"16",-2.72794950922919
"17",3.69856572360839
"18",0.0353016490655182
"19",-2.26590621474799
"20",3.85267387913631
"21",-0.802021362347376
"22",0.65277462604859
"23",-2.11175481259859
"24",2.72452463873604
"25",-4.03325993169324
"26",2.56683271241561
"27",-0.693051284484818
"28",0.476615612456889
"29",-0.827940116488927
"30",0.304044196216272
